iso3,gdp_per_capita,unemployment_rate,life_expectancy,literacy_rate,gini_index,cost_of_living_index,rent_index,groceries_index,restaurant_price_index,purchasing_power_index,safety_index,healthcare_index,traffic_index,pollution_index,visa_free_count,residency_difficulty,digital_nomad_visa,investor_visa,eu_member,schengen,ru_visa_free,ru_banking_access,ru_sanctions_risk,country
KAZ,0.0956160138024977,0.14385790893028738,0.664407276636817,1.0,0.965217391304348,0.11873638344226581,0.12517385257301808,0.12896174863387977,0.16562499999999997,0.2792632204396911,0.5301204819277107,0.4406779661016951,0.35266821345707655,0.8127490039840637,0.2753623188405797,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,Kazakhstan
KEN,0.007668567018662023,0.1648739964663216,0.307191522807704,0.3542876706937119,0.965217391304348,0.10893246187363834,0.09874826147426982,0.1333333333333333,0.11041666666666666,0.16399286987522282,0.381024096385542,0.47245762711864425,0.7169373549883993,0.7596281540504648,0.35507246376811596,0.6666666666666667,1.0,1.0,0.0,0.0,0.0,0.5,0.0,Kenya
KOR,0.25716983871466886,0.07913579864232356,0.9682349635312952,0.8332763365973519,0.965217391304348,0.4651416122004357,0.4019471488178026,0.6480874316939891,0.21354166666666663,0.6131907308377897,0.7740963855421686,0.9110169491525426,0.43619489559164737,0.594953519256308,0.9927536231884058,1.0,1.0,1.0,0.0,0.0,0.0,0.25,0.5,"Korea, Rep."
KWT,0.23141281537420688,0.06357521465546637,1.0000000000000002,0.9402118141200901,0.965217391304348,0.2570806100217865,0.2906815020862309,0.19234972677595624,0.2927083333333333,1.0000000000000002,0.7198795180722891,0.39618644067796627,0.32482598607888646,0.7649402390438247,0.7753623188405798,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.5,0.0,Kuwait
LKA,0.02510219222718464,0.12011406961966463,0.7692978705208253,0.7628970537292403,0.965217391304348,0.16339869281045752,0.13351877607788595,0.32677595628415307,0.09375,0.06357694592988711,0.5722891566265059,0.6525423728813562,0.7726218097447797,0.6135458167330676,0.9492753623188406,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.5,0.0,Sri Lanka
LTU,0.20702539654617885,0.20461238027339515,0.7533729989045146,0.8332763365973519,0.965217391304348,0.35185185185185186,0.31849791376912384,0.307103825136612,0.4270833333333333,0.4711824123588829,0.7108433734939757,0.7521186440677969,0.04872389791183296,0.1779548472775564,0.9492753623188406,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Lithuania
LUX,0.9999999999999999,0.19258547472180035,0.9537370750917329,0.8332763365973519,0.965217391304348,0.6437908496732025,0.7343532684283729,0.6502732240437159,0.7083333333333333,0.9043374925727868,0.7108433734939757,0.7266949152542375,0.13225058004640378,0.1447543160690571,0.9855072463768115,0.6666666666666667,0.0,0.0,1.0,1.0,0.0,0.5,0.0,Luxembourg
LVA,0.16331623203359133,0.19955984005455507,0.7277980721066333,0.8332763365973519,0.965217391304348,0.3638344226579521,0.30458970792767737,0.3202185792349727,0.409375,0.4123588829471183,0.664156626506024,0.5021186440677967,0.16009280742459409,0.22974767596281542,0.9492753623188406,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.0,1.0,Latvia
MAR,0.022451277024042312,0.2749449800068194,0.6965323168521673,0.9402118141200901,0.965217391304348,0.1361655773420479,0.12100139082058417,0.16174863387978144,0.10104166666666664,0.22162804515745696,0.503012048192771,0.14618644067796605,0.3364269141531324,0.7543160690571049,0.09420289855072467,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.5,0.0,Morocco
MEX,0.09584387988787002,0.0788258268497567,0.6888850879443551,0.8588999751595008,0.965217391304348,0.25816993464052285,0.2656467315716273,0.31038251366120223,0.2947916666666667,0.23826500297088535,0.41415662650602403,0.6864406779661016,0.42923433874709993,0.6175298804780875,0.7753623188405798,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,0.5,0.0,Mexico
MKD,0.06004275808476333,0.3758717956665944,0.7340533408266265,0.8332763365973519,0.965217391304348,0.18082788671023967,0.1502086230876217,0.18251366120218576,0.14375,0.33630421865715987,0.5873493975903613,0.3283898305084747,0.08352668213457082,0.8950863213811422,0.9565217391304348,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.5,0.0,North Macedonia
MLT,0.3132055166333361,0.08573819782399804,0.9457550915688275,0.8332763365973519,0.965217391304348,0.41285403050108926,0.44089012517385273,0.41202185792349727,0.5083333333333333,0.4325609031491384,0.5632530120481927,0.2838983050847457,0.16705336426914152,0.8486055776892429,0.963768115942029,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.25,1.0,Malta
MNE,0.08909574657346822,0.4166640835683953,0.776585910170106,0.8332763365973519,0.965217391304348,0.2592592592592593,0.25869262865090403,0.24371584699453552,0.30729166666666663,0.3374925727866904,0.6167168674698793,0.3792372881355932,0.15081206496519728,0.5630810092961487,0.5072463768115942,0.0,1.0,1.0,0.0,0.0,1.0,0.75,0.0,Montenegro
